code,geofips,geoname,timeperiod,cl_unit,unit_mult,datavalue,noteref,table,endpoint,topic
SAGDP2N-1,20000,Kansas,2020,Millions of current dollars,6,177720.6,,SAGDP2N,1,All industry total
SAGDP2N-1,20000,Kansas,2021,Millions of current dollars,6,191831.7,,SAGDP2N,1,All industry total
SAGDP2N-1,20000,Kansas,2022,Millions of current dollars,6,209326.1,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2017,Millions of current dollars,6,203564.0,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2018,Millions of current dollars,6,210509.1,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2019,Millions of current dollars,6,220683.3,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2020,Millions of current dollars,6,218755.2,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2021,Millions of current dollars,6,237925.9,,SAGDP2N,1,All industry total
SAGDP2N-1,21000,Kentucky,2022,Millions of current dollars,6,258981.2,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2017,Millions of current dollars,6,239830.7,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2018,Millions of current dollars,6,256444.4,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2019,Millions of current dollars,6,257096.7,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2020,Millions of current dollars,6,236135.9,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2021,Millions of current dollars,6,263162.7,,SAGDP2N,1,All industry total
SAGDP2N-1,22000,Louisiana,2022,Millions of current dollars,6,291951.9,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2017,Millions of current dollars,6,63000.6,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2018,Millions of current dollars,6,66216.0,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2019,Millions of current dollars,6,69298.2,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2020,Millions of current dollars,6,72091.6,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2021,Millions of current dollars,6,78918.4,,SAGDP2N,1,All industry total
SAGDP2N-1,23000,Maine,2022,Millions of current dollars,6,85801.2,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2017,Millions of current dollars,6,399714.5,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2018,Millions of current dollars,6,410771.8,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2019,Millions of current dollars,6,419447.6,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2020,Millions of current dollars,6,413417.7,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2021,Millions of current dollars,6,446941.0,,SAGDP2N,1,All industry total
SAGDP2N-1,24000,Maryland,2022,Millions of current dollars,6,480112.7,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2017,Millions of current dollars,6,530129.4,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2018,Millions of current dollars,6,559605.0,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2019,Millions of current dollars,6,588617.5,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2020,Millions of current dollars,6,589033.3,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2021,Millions of current dollars,6,645434.0,,SAGDP2N,1,All industry total
SAGDP2N-1,25000,Massachusetts,2022,Millions of current dollars,6,691460.6,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2017,Millions of current dollars,6,505101.5,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2018,Millions of current dollars,6,525240.8,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2019,Millions of current dollars,6,536975.6,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2020,Millions of current dollars,6,530231.1,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2021,Millions of current dollars,6,576502.2,,SAGDP2N,1,All industry total
SAGDP2N-1,26000,Michigan,2022,Millions of current dollars,6,622562.7,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2017,Millions of current dollars,6,354721.9,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2018,Millions of current dollars,6,372439.2,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2019,Millions of current dollars,6,383961.6,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2020,Millions of current dollars,6,379438.7,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2021,Millions of current dollars,6,413063.1,,SAGDP2N,1,All industry total
SAGDP2N-1,27000,Minnesota,2022,Millions of current dollars,6,448032.4,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2017,Millions of current dollars,6,110281.4,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2018,Millions of current dollars,6,113166.4,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2019,Millions of current dollars,6,115441.7,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2020,Millions of current dollars,6,116193.1,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2021,Millions of current dollars,6,128364.5,,SAGDP2N,1,All industry total
SAGDP2N-1,28000,Mississippi,2022,Millions of current dollars,6,139976.4,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2017,Millions of current dollars,6,311273.8,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2018,Millions of current dollars,6,320451.6,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2019,Millions of current dollars,6,334364.7,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2020,Millions of current dollars,6,335278.3,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2021,Millions of current dollars,6,365145.4,,SAGDP2N,1,All industry total
SAGDP2N-1,29000,Missouri,2022,Millions of current dollars,6,396889.9,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2017,Millions of current dollars,6,48470.5,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2018,Millions of current dollars,6,51152.1,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2019,Millions of current dollars,6,52772.5,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2020,Millions of current dollars,6,53130.7,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2021,Millions of current dollars,6,59996.7,,SAGDP2N,1,All industry total
SAGDP2N-1,30000,Montana,2022,Millions of current dollars,6,67071.9,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2017,Millions of current dollars,6,123219.9,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2018,Millions of current dollars,6,127954.4,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2019,Millions of current dollars,6,132741.0,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2020,Millions of current dollars,6,135285.0,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2021,Millions of current dollars,6,149360.3,,SAGDP2N,1,All industry total
SAGDP2N-1,31000,Nebraska,2022,Millions of current dollars,6,164933.9,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2017,Millions of current dollars,6,163199.1,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2018,Millions of current dollars,6,172547.9,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2019,Millions of current dollars,6,184343.9,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2020,Millions of current dollars,6,175982.0,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2021,Millions of current dollars,6,200127.3,,SAGDP2N,1,All industry total
SAGDP2N-1,32000,Nevada,2022,Millions of current dollars,6,222938.6,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2017,Millions of current dollars,6,81179.6,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2018,Millions of current dollars,6,83859.4,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2019,Millions of current dollars,6,87472.0,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2020,Millions of current dollars,6,88589.4,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2021,Millions of current dollars,6,99100.0,,SAGDP2N,1,All industry total
SAGDP2N-1,33000,New Hampshire,2022,Millions of current dollars,6,105024.6,,SAGDP2N,1,All industry total
SAGDP2N-1,34000,New Jersey,2017,Millions of current dollars,6,590086.7,,SAGDP2N,1,All industry total
SAGDP2N-1,34000,New Jersey,2018,Millions of current dollars,6,619340.2,,SAGDP2N,1,All industry total
SAGDP2N-1,34000,New Jersey,2019,Millions of current dollars,6,641877.6,,SAGDP2N,1,All industry total
SAGDP2N-1,34000,New Jersey,2020,Millions of current dollars,6,630212.7,,SAGDP2N,1,All industry total
SAGDP2N-1,34000,New Jersey,2021,Millions of current dollars,6,692227.3,,SAGDP2N,1,All industry total
